PovPct, Brth15to17
20.1, 31.5	
7.1, 18.9	
16.1, 35
14.9, 31.6
16.7, 22.6
8.8, 26.2
9.7, 14.1
10.3, 24.7
22, 44.8
16.2, 23.2
12.1, 31.4
10.3, 17.7
14.5, 18.4
12.4, 23.4
9.6, 22.6
12.2, 16.4
10.8, 21.4
14.7, 26.5
19.7, 31.7	
11.2, 11.9
10.1, 20
11, 12.5
12.2, 18
9.2, 14.2
23.5, 37.6
9.4,	22.2
15.3, 17.8
9.6,	18.3
11.1, 28
5.3, 8
7.8, 14.7
25.3, 37.8
16.5, 15.7
12.6, 28.6
12, 11.7
11.5, 20.1
17.1, 30.1	
11.2, 18.2
12.2, 17.2
10.6, 19.6
19.9, 29.2
14.5, 17.3
15.5, 28.2
17.4, 38.2	
8.4, 17.8
10.3, 10.4
10.2, 19
12.5, 16.8
16.7, 21.5
8.5, 15.9
12.2, 17.7
